Great_Group,Suborder,Order,TAX,Organic_soils
Albaqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Albaqualfs,0
Cryaqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Cryaqualfs,0
Duraqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Duraqualfs,0
Endoaqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Endoaqualfs,0
Epiaqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Epiaqualfs,0
Fragiaqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Fragiaqualfs,0
Glossaqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Glossaqualfs,0
Kandiaqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Kandiaqualfs,0
Natraqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Natraqualfs,0
Ochraqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Ochraqualfs,0
Plinthaqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Plinthaqualfs,0
Tropaqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Tropaqualfs,0
Umbraqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Umbraqualfs,0
Vermaqualfs,Aqualfs,Alfisols,Alfisols_Aqualfs_Vermaqualfs,0
Cryoboralfs,Boralfs,Alfisols,Alfisols_Boralfs_Cryoboralfs,0
Eutroboralfs,Boralfs,Alfisols,Alfisols_Boralfs_Eutroboralfs,0
Fragiboralfs,Boralfs,Alfisols,Alfisols_Boralfs_Fragiboralfs,0
Glossoboralfs,Boralfs,Alfisols,Alfisols_Boralfs_Glossoboralfs,0
Natriboralfs,Boralfs,Alfisols,Alfisols_Boralfs_Natriboralfs,0
Paleboralfs,Boralfs,Alfisols,Alfisols_Boralfs_Paleboralfs,0
Glossocryalfs,Cryalfs,Alfisols,Alfisols_Cryalfs_Glossocryalfs,0
Haplocryalfs,Cryalfs,Alfisols,Alfisols_Cryalfs_Haplocryalfs,0
Palecryalfs,Cryalfs,Alfisols,Alfisols_Cryalfs_Palecryalfs,0
Ferrudalfs,Udalfs,Alfisols,Alfisols_Udalfs_Ferrudalfs,0
Fragiudalfs,Udalfs,Alfisols,Alfisols_Udalfs_Fragiudalfs,0
Fraglossudalfs,Udalfs,Alfisols,Alfisols_Udalfs_Fraglossudalfs,0
Glossudalfs,Udalfs,Alfisols,Alfisols_Udalfs_Glossudalfs,0
Hapludalfs,Udalfs,Alfisols,Alfisols_Udalfs_Hapludalfs,0
Kandiudalfs,Udalfs,Alfisols,Alfisols_Udalfs_Kandiudalfs,0
Kanhapludalfs,Udalfs,Alfisols,Alfisols_Udalfs_Kanhapludalfs,0
Natrudalfs,Udalfs,Alfisols,Alfisols_Udalfs_Natrudalfs,0
Paleudalfs,Udalfs,Alfisols,Alfisols_Udalfs_Paleudalfs,0
Rhodudalfs,Udalfs,Alfisols,Alfisols_Udalfs_Rhodudalfs,0
Tropudalfs,Udalfs,Alfisols,Alfisols_Udalfs_Tropudalfs,0
Durustalfs,Ustalfs,Alfisols,Alfisols_Ustalfs_Durustalfs,0
Haplustalfs,Ustalfs,Alfisols,Alfisols_Ustalfs_Haplustalfs,0
Kandiustalfs,Ustalfs,Alfisols,Alfisols_Ustalfs_Kandiustalfs,0
Kanhaplustalfs,Ustalfs,Alfisols,Alfisols_Ustalfs_Kanhaplustalfs,0
Natrustalfs,Ustalfs,Alfisols,Alfisols_Ustalfs_Natrustalfs,0
Paleustalfs,Ustalfs,Alfisols,Alfisols_Ustalfs_Paleustalfs,0
Plinthustalfs,Ustalfs,Alfisols,Alfisols_Ustalfs_Plinthustalfs,0
Rhodustalfs,Ustalfs,Alfisols,Alfisols_Ustalfs_Rhodustalfs,0
Durixeralfs,Xeralfs,Alfisols,Alfisols_Xeralfs_Durixeralfs,0
Fragixeralfs,Xeralfs,Alfisols,Alfisols_Xeralfs_Fragixeralfs,0
Haploxeralfs,Xeralfs,Alfisols,Alfisols_Xeralfs_Haploxeralfs,0
Natrixeralfs,Xeralfs,Alfisols,Alfisols_Xeralfs_Natrixeralfs,0
Palexeralfs,Xeralfs,Alfisols,Alfisols_Xeralfs_Palexeralfs,0
Plinthoxeralfs,Xeralfs,Alfisols,Alfisols_Xeralfs_Plinthoxeralfs,0
Rhodoxeralfs,Xeralfs,Alfisols,Alfisols_Xeralfs_Rhodoxeralfs,0
Cryaquands,Aquands,Andisols,Andisols_Aquands_Cryaquands,0
Duraquands,Aquands,Andisols,Andisols_Aquands_Duraquands,0
Endoaquands,Aquands,Andisols,Andisols_Aquands_Endoaquands,0
Epiaquands,Aquands,Andisols,Andisols_Aquands_Epiaquands,0
Gelaquands,Aquands,Andisols,Andisols_Aquands_Gelaquands,0
Haplaquands,Aquands,Andisols,Andisols_Aquands_Haplaquands,0
Melanaquands,Aquands,Andisols,Andisols_Aquands_Melanaquands,0
Placaquands,Aquands,Andisols,Andisols_Aquands_Placaquands,0
Vitraquands,Aquands,Andisols,Andisols_Aquands_Vitraquands,0
Duricryands,Cryands,Andisols,Andisols_Cryands_Duricryands,0
Fulvicryands,Cryands,Andisols,Andisols_Cryands_Fulvicryands,0
Haplocryands,Cryands,Andisols,Andisols_Cryands_Haplocryands,0
Hydrocryands,Cryands,Andisols,Andisols_Cryands_Hydrocryands,0
Melanocryands,Cryands,Andisols,Andisols_Cryands_Melanocryands,0
Vitricryands,Cryands,Andisols,Andisols_Cryands_Vitricryands,0
Vitrigelands,Gelands,Andisols,Andisols_Gelands_Vitrigelands,0
Duritorrands,Torrands,Andisols,Andisols_Torrands_Duritorrands,0
Haplotorrands,Torrands,Andisols,Andisols_Torrands_Haplotorrands,0
Vitritorrands,Torrands,Andisols,Andisols_Torrands_Vitritorrands,0
Durudands,Udands,Andisols,Andisols_Udands_Durudands,0
Fulvudands,Udands,Andisols,Andisols_Udands_Fulvudands,0
Hapludands,Udands,Andisols,Andisols_Udands_Hapludands,0
Hydrudands,Udands,Andisols,Andisols_Udands_Hydrudands,0
Melanudands,Udands,Andisols,Andisols_Udands_Melanudands,0
Placudands,Udands,Andisols,Andisols_Udands_Placudands,0
